[L1] Name: TurnLight_Runnable_10ms_sys	BlockType=SubSystem	SID=4
	[L1 Port] Name: CountSignal_Left_u8_Signal              	BlockType=Inport    	SID=6         	PortType=S-R       
	[L1 Port] Name: CountSignal_Right_u8_Signal             	BlockType=Inport    	SID=8         	PortType=S-R       
	[L1 Port] Name: CrashIntensity_u8_Signal                	BlockType=Inport    	SID=10        	PortType=S-R       
	[L1 Port] Name: EmergencyBrakeLight_u8_Signal           	BlockType=Inport    	SID=12        	PortType=S-R       
	[L1 Port] Name: HazardSw_u8_Signal                      	BlockType=Inport    	SID=14        	PortType=S-R       
	[L1 Port] Name: IGN_Status_u8_signal                    	BlockType=Inport    	SID=16        	PortType=S-R       
	[L1 Port] Name: TurnLampCtrlCmd_FL_u8_signal            	BlockType=Inport    	SID=18        	PortType=S-R       
	[L1 Port] Name: TurnLampCtrlCmd_FR_u8_signa             	BlockType=Inport    	SID=20        	PortType=S-R       
	[L1 Port] Name: TurnLampCtrlCmd_RL_u8_signal            	BlockType=Inport    	SID=22        	PortType=S-R       
	[L1 Port] Name: TurnLampCtrlCmd_RR_u8_signal            	BlockType=Inport    	SID=24        	PortType=S-R       
	[L1 Port] Name: TurnLampFb_FL_u8_Signal                 	BlockType=Inport    	SID=26        	PortType=S-R       
	[L1 Port] Name: TurnLampFb_FR_u8_Signal                 	BlockType=Inport    	SID=28        	PortType=S-R       
	[L1 Port] Name: TurnLampFb_RL_u8_Signal                 	BlockType=Inport    	SID=30        	PortType=S-R       
	[L1 Port] Name: TurnLampFb_RR_u8_Signal                 	BlockType=Inport    	SID=32        	PortType=S-R       
	[L1 Port] Name: TurnLampSw_u8_Signal                    	BlockType=Inport    	SID=34        	PortType=S-R       
	[L1 Port] Name: VehicleSpeed_u16_signal                 	BlockType=Inport    	SID=36        	PortType=S-R       
	[L1 Port] Name: VehicleSpeed_Valid_u8_Signal            	BlockType=Inport    	SID=38        	PortType=S-R       
	[L1 Port] Name: TurnLampSwMode_u8_signa                 	BlockType=Outport   	SID=40        	PortType=S-R       
	[L1 Port] Name: TurnLight_Runnable_10ms                 	BlockType=Inport    	SID=3         	PortType=S-R       
	[L1 Port] Name: TurnLightService_TurnLightControl_Operation	BlockType=Inport    	SID=unknow    	PortType=C-S       
[L2] Name: HazardCtrlLogic	BlockType=SubSystem 	SID=66        	FatherNode=TurnLight_Runnable_10ms_sys
	[L2 Connect] Name:TurnLightSelector                       	SID=69        	strength=1
	[L2 Port] Name:CrashIntensity_u8_Signal_read           	BlockType=Inport    	SID=11        
	[L2 Port] Name:EmergencyBrakeLight_u8_Signal_read      	BlockType=Inport    	SID=13        
	[L2 Port] Name:HazardSw_u8_Signal_read                 	BlockType=Inport    	SID=15        
	[L2 Port] Name:VehicleSpeed_u16_signal_read            	BlockType=Inport    	SID=37        
	[L2 Port] Name:VehicleSpeed_Valid_u8_Signal_read       	BlockType=Inport    	SID=39        
[L2] Name: TurnLightCtrlLogic	BlockType=SubSystem 	SID=67        	FatherNode=TurnLight_Runnable_10ms_sys
	[L2 Connect] Name:TurnLightSelector                       	SID=69        	strength=2
	[L2 Port] Name:CountSignal_Left_u8_Signal_read         	BlockType=Inport    	SID=7         
	[L2 Port] Name:CountSignal_Right_u8_Signal_read        	BlockType=Inport    	SID=9         
	[L2 Port] Name:IGN_Status_u8_signal_read               	BlockType=Inport    	SID=17        
	[L2 Port] Name:TurnLampSw_u8_Signal_read               	BlockType=Inport    	SID=35        
[L2] Name: TurnLightDiag	BlockType=SubSystem 	SID=68        	FatherNode=TurnLight_Runnable_10ms_sys
	[L2 Connect] Name:TurnLight_FLDouble_Open                 	SID=92        	strength=1
	[L2 Connect] Name:TurnLight_FLOFF_Short                   	SID=103       	strength=1
	[L2 Connect] Name:TurnLight_FRDouble_Open                 	SID=114       	strength=1
	[L2 Connect] Name:TurnLight_FROFF_Short                   	SID=125       	strength=1
	[L2 Connect] Name:TurnLight_RLDouble_Open                 	SID=169       	strength=1
	[L2 Connect] Name:TurnLight_RLOFF_Short                   	SID=180       	strength=1
	[L2 Connect] Name:TurnLight_RRDouble_Open                 	SID=191       	strength=1
	[L2 Connect] Name:TurnLight_RRDouble_Short                	SID=202       	strength=1
	[L2 Port] Name:TurnLampCtrlCmd_FL_u8_signal_read       	BlockType=Inport    	SID=19        
	[L2 Port] Name:TurnLampCtrlCmd_FR_u8_signa_read        	BlockType=Inport    	SID=21        
	[L2 Port] Name:TurnLampCtrlCmd_RL_u8_signal_read       	BlockType=Inport    	SID=23        
	[L2 Port] Name:TurnLampCtrlCmd_RR_u8_signal_read       	BlockType=Inport    	SID=25        
	[L2 Port] Name:TurnLampFb_FL_u8_Signal_read            	BlockType=Inport    	SID=27        
